Fecha de actualización;Coordinación Zonal;Provincia;Cantón;Estado;Características de cubierta del escenario;Longitud;Latitud;Nombre del Propietario;Nombre del Administrador;Tipo de propiedad;Hora de apertura;Hora de cierre;;Uso del escenario deportivo;Costo por uso de las instalaciones
27/08/2021 11:27;Zonal 4;Manabí;SANTA ANA;;;-7.848.087.749.999.990;-0.18778999999999998;LIGA DEPORTIVA CANTONAL SANTA ANA;LIGA DEPORTIVA CANTONAL SANTA ANA;Privado;6:00 a. m.;5:00 p. m.;;ESTADIO;0
27/08/2021 10:58;Zonal 4;Manabí;OLMEDO;;;-784.808.775;-0.18779;LIGA DEPORTIVA CANTONAL DE OLMEDO;LIGA DEPORTIVA CANTONAL DE OLMEDO;Privado;2:00 p. m.;6:00 p. m.;;CANCHA DE FUTBOL;0
26/08/2021 11:42;Zonal 7;Loja;Gualaceo;;;-795.557.591;-4.326.198;LDC DE CALVAS;LDC DE CALVAS;Público;8:00 a. m.;5:00 p. m.;;CANCHA DE USO MULTIPLE;0
26/08/2021 11:28;Zonal 7;Loja;El Pan;;;-795.551.212;-43.214.633;Ministerio del deporte;Fede Loja;Público;8:00 a. m.;8:00 p. m.;;PISCINAS;0
25/08/2021 18:20;Zonal 4;Manabí;24 DE MAYO;;;-7.848.087.749.999.990;-0.18778999999999998;LIGA DEPORTIVA CANTONAL 24 DE MAYO;LIGA DEPORTIVA CANTONAL 24 DE MAYO;Privado;2:00 p. m.;5:30 p. m.;;CANCHA DE FUTBOL;0
25/08/2021 17:38;Zonal 4;Manabí;JUNÍN;;;-784.808.775;-0.18779;LIGA DEPORTIVA CANTONAL DE JUNIN;LIGA DEPORTIVA CANTONAL DE JUNIN;Privado;9:00 p. m.;5:00 p. m.;;"CANCHA DE USO MULTIPLE
ESTADIO";0
25/08/2021 16:59;Zonal 4;Manabí;BOLÍVAR;;;-784.808.775;-0.18779;LIGA DEPORTIVA CANTONAL DE BOLIVAR;LIGA DEPORTIVA CANTONAL DE BOLIVAR;Privado;3:00 p. m.;5:30 p. m.;;"CANCHA DE FUTBOL
CANCHA DE USO MULTIPLE";0
24/08/2021 15:23;Zonal 7;Loja;Macara;;;-799.453.654;-43.847.203;LDC DE MACARA;LDC DE MACARA;Público;8:00 a. m.;8:00 p. m.;;COLISEO;0
24/08/2021 15:22;Zonal 7;Loja;Macara;;;-799.453.654;-43.847.203;LDC DE MACARA;LDC DE MACARA;Público;8:00 a. m.;8:00 p. m.;;COLISEO;0
24/08/2021 15:20;Zonal 7;Loja;Macara;;;-799.449.486;-43.841.251;LDC DE MACARA;LDC DE MACARA;Público;8:00 a. m.;8:00 p. m.;;COLISEO;0
24/08/2021 15:16;Zonal 7;Loja;Macara;;;-799.449.486;-43.841.251;LDC DE MACARA;LDC DE MACARA;Público;8:00 a. m.;8:00 p. m.;;ESTADIO;0
24/08/2021 15:14;Zonal 7;Loja;Macara;;;-799.444.636;-43.849.615;LDC DE MACARA;LDC DE MACARA;Público;8:00 a. m.;8:00 p. m.;;CANCHA DE FUTBOL;0
24/08/2021 15:12;Zonal 7;Loja;Macara;;;-799.444.636;-43.849.615;LDC DE MACARA;LDC DE MACARA;Público;8:00 p. m.;5:00 p. m.;;CANCHA DE FUTBOL;0
24/08/2021 12:43;Zonal 7;Loja;Paltas;;;-796.462.407;-40.574.681;GAD PALTAS;GAD PALTAS;Público;8:00 a. m.;5:00 p. m.;;COLISEO;0
24/08/2021 12:42;Zonal 7;Loja;Paltas;;;-796.462.407;-40.574.681;GAD PALTAS;GAD PALTAS;Público;8:00 a. m.;5:00 p. m.;;COLISEO;0
24/08/2021 12:39;Zonal 7;Loja;Paltas;;;-796.460.176;-40.563.588;GAD PALTAS;GAD PALTAS;Público;8:00 a. m.;5:00 p. m.;;CANCHA DE FUTBOL;0
24/08/2021 12:37;Zonal 7;Loja;Paltas;;;-796.454.532;-40.570.195;GAD PALTAS;GAD PALTAS;Público;8:00 a. m.;5:00 p. m.;;COLISEO;0
24/08/2021 12:33;Zonal 7;Loja;Paltas;;;-796.454.532;-40.570.195;GAD PALTAS;GAE PALTAS;Público;8:00 a. m.;5:00 p. m.;;CANCHA DE INDOR;0
23/08/2021 14:58;Zonal 7;Loja;MORONA;;;-789.500.854;-40.657.249;CZ7;CZ7;Público;8:00 a. m.;5:00 p. m.;;Oficinas;950
23/08/2021 13:23;Zonal 6;Azuay;CUENCA;;;-7.848.087.749.999.990;-0.18778999999999998;I. Municipio de Cuenca;Federacion deportiva del Azuay;Público;8:00 p. m.;7:00 p. m.;;"CANCHA DE BALONCESTO
COMPLEJO DEPORTIVO";1
23/08/2021 13:02;Zonal 6;Azuay;CUENCA;;;-784.808.775;-0.18779;I. Municipio de Cuenca;Federacion deportiva del Azuay;Público;10:00 a. m.;6:00 a. m.;;"CANCHA DE FUTBOL
PISTA";0
23/08/2021 12:40;Zonal 6;Azuay;CUENCA;;;-784.808.775;-0.18779;I. Municipio de Cuenca;Luis Escandon;Público;6:00 a. m.;9:00 p. m.;;"CANCHA DE FUTBOL
CANCHA DE USO MULTIPLE
PISTA";0
